Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
6400,entropyDip,blacknurse,9,0,6,0,15,0.6,0.75,,,
6400,entropyDip,xmas,4,0,11,0,15,0.266666667,0.421052632,,,
6400,entropyDip,udpflood,6,0,2,0,8,0.75,0.857142857,,,
6400,entropyDip,synflood,6,0,7,0,13,0.461538462,0.631578947,,,
6400,entropyRateDip,total,26,5313,214,189,5742,0.929815395,0.114285714,0.108333333,0.120930233,0.961280984
6400,entropyRateDip,slowread,0,0,87,0,87,0,0,,,
6400,entropyRateDip,slowloris,0,0,60,0,60,0,0,,,
6400,entropyRateDip,ruby,0,0,23,0,23,0,0,,,
6400,entropyRateDip,pingflood,6,0,13,0,19,0.315789474,0.48,,,
6400,entropyRateDip,blacknurse,8,0,7,0,15,0.533333333,0.695652174,,,
6400,entropyRateDip,xmas,1,0,14,0,15,0.066666667,0.125,,,
6400,entropyRateDip,udpflood,5,0,3,0,8,0.625,0.769230769,,,
6400,entropyRateDip,synflood,6,0,7,0,13,0.461538462,0.631578947,,,
6400,entropyPacketsize,total,25,5143,215,359,5742,0.900034831,0.080128205,0.104166667,0.065104167,0.959873087
6400,entropyPacketsize,slowread,1,0,86,0,87,0.011494253,0.022727273,,,
6400,entropyPacketsize,slowloris,0,0,60,0,60,0,0,,,
6400,entropyPacketsize,ruby,0,0,23,0,23,0,0,,,
6400,entropyPacketsize,pingflood,9,0,10,0,19,0.473684211,0.642857143,,,
6400,entropyPacketsize,blacknurse,9,0,6,0,15,0.6,0.75,,,
6400,entropyPacketsize,xmas,4,0,11,0,15,0.266666667,0.421052632,,,
6400,entropyPacketsize,udpflood,1,0,7,0,8,0.125,0.222222222,,,
6400,entropyPacketsize,synflood,1,0,12,0,13,0.076923077,0.142857143,,,
6400,entropyRatePacketsize,total,240,0,0,5502,5742,0.041797283,0.080240722,1,0.041797283,#DIV/0!
6400,entropyRatePacketsize,slowread,87,0,0,0,87,1,1,,,
6400,entropyRatePacketsize,slowloris,60,0,0,0,60,1,1,,,
6400,entropyRatePacketsize,ruby,23,0,0,0,23,1,1,,,
6400,entropyRatePacketsize,pingflood,19,0,0,0,19,1,1,,,
6400,entropyRatePacketsize,blacknurse,15,0,0,0,15,1,1,,,
6400,entropyRatePacketsize,xmas,15,0,0,0,15,1,1,,,
6400,entropyRatePacketsize,udpflood,8,0,0,0,8,1,1,,,
6400,entropyRatePacketsize,synflood,13,0,0,0,13,1,1,,,
6400,entropyBiflowSyn,total,38,4954,202,548,5742,0.86938349,0.092009685,0.158333333,0.064846416,0.960822343
6400,entropyBiflowSyn,slowread,4,0,83,0,87,0.045977011,0.087912088,,,
6400,entropyBiflowSyn,slowloris,4,0,56,0,60,0.066666667,0.125,,,
6400,entropyBiflowSyn,ruby,0,0,23,0,23,0,0,,,
6400,entropyBiflowSyn,pingflood,6,0,13,0,19,0.315789474,0.48,,,
6400,entropyBiflowSyn,blacknurse,0,0,15,0,15,0,0,,,
6400,entropyBiflowSyn,xmas,13,0,2,0,15,0.866666667,0.928571429,,,
6400,entropyBiflowSyn,udpflood,0,0,8,0,8,0,0,,,
6400,entropyBiflowSyn,synflood,11,0,2,0,13,0.846153846,0.916666667,,,
6400,entropySipSyn,total,38,4998,202,504,5742,0.877046325,0.097186701,0.158333333,0.070110701,0.961153846
6400,entropySipSyn,slowread,13,0,74,0,87,0.149425287,0.26,,,
6400,entropySipSyn,slowloris,5,0,55,0,60,0.083333333,0.153846154,,,
6400,entropySipSyn,ruby,2,0,21,0,23,0.086956522,0.16,,,
6400,entropySipSyn,pingflood,0,0,19,0,19,0,0,,,
6400,entropySipSyn,blacknurse,3,0,12,0,15,0.2,0.333333333,,,
6400,entropySipSyn,xmas,8,0,7,0,15,0.533333333,0.695652174,,,
6400,entropySipSyn,udpflood,1,0,7,0,8,0.125,0.222222222,,,
6400,entropySipSyn,synflood,6,0,7,0,13,0.461538462,0.631578947,,,
